,Passive suicidal ideation,Passive suicidal ideation_include,Passive suicidal ideation_add,Active suicidal ideation & suicidal planning,Active suicidal ideation & suicidal planning_include,Active suicidal ideation & suicidal planning_add,Lethal means for suicide,Lethal means for suicide_include,Lethal means for suicide_add,Direct self-injury,Direct self-injury_include,Direct self-injury_add,Suicide exposure,Suicide exposure_include,Suicide exposure_add,Other suicidal language,Other suicidal language_include,Other suicidal language_add,Hospitalization,Hospitalization_include,Hospitalization_add,Loneliness & isolation,Loneliness & isolation_include,Loneliness & isolation_add,Social withdrawal,Social withdrawal_include,Social withdrawal_add,Relationship issues,Relationship issues_include,Relationship issues_add,Relationships & kinship,Relationships & kinship_include,Relationships & kinship_add,Bullying,Bullying_include,Bullying_add,Sexual abuse & harassment,Sexual abuse & harassment_include,Sexual abuse & harassment_add,Physical abuse & violence,Physical abuse & violence_include,Physical abuse & violence_add,Aggression & irritability,Aggression & irritability_include,Aggression & irritability_add,Alcohol use,Alcohol use_include,Alcohol use_add,Other substance use,Other substance use_include,Other substance use_add,Impulsivity,Impulsivity_include,Impulsivity_add,Defeat & feeling like a failure,Defeat & feeling like a failure_include,Defeat & feeling like a failure_add,Burdensomeness,Burdensomeness_include,Burdensomeness_add,"Shame, self-disgust, & worthlessness","Shame, self-disgust, & worthlessness_include","Shame, self-disgust, & worthlessness_add",Guilt,Guilt_include,Guilt_add,Anxiety,Anxiety_include,Anxiety_add,Panic,Panic_include,Panic_add,Entrapment & desire to escape,Entrapment & desire to escape_include,Entrapment & desire to escape_add,Trauma & PTSD,Trauma & PTSD_include,Trauma & PTSD_add,Agitation,Agitation_include,Agitation_add,Rumination,Rumination_include,Rumination_add,Depressed mood,Depressed mood_include,Depressed mood_add,Anhedonia & uninterested,Anhedonia & uninterested_include,Anhedonia & uninterested_add,Emotional pain & psychache,Emotional pain & psychache_include,Emotional pain & psychache_add,Grief & bereavement,Grief & bereavement_include,Grief & bereavement_add,Existential meaninglessness & purposelessness,Existential meaninglessness & purposelessness_include,Existential meaninglessness & purposelessness_add,Emptiness,Emptiness_include,Emptiness_add,Hopelessness,Hopelessness_include,Hopelessness_add,Perfectionism,Perfectionism_include,Perfectionism_add,Fatigue & tired,Fatigue & tired_include,Fatigue & tired_add,Sleep issues,Sleep issues_include,Sleep issues_add,Psychosis & schizophrenia,Psychosis & schizophrenia_include,Psychosis & schizophrenia_add,Bipolar Disorder,Bipolar Disorder_include,Bipolar Disorder_add,Borderline Personality Disorder,Borderline Personality Disorder_include,Borderline Personality Disorder_add,Eating disorders,Eating disorders_include,Eating disorders_add,Physical health issues & disability,Physical health issues & disability_include,Physical health issues & disability_add,Incarceration,Incarceration_include,Incarceration_add,Poverty & homelessness,Poverty & homelessness_include,Poverty & homelessness_add,Gender & sexual identity,Gender & sexual identity_include,Gender & sexual identity_add,Discrimination,Discrimination_include,Discrimination_add,Finances & work stress,Finances & work stress_include,Finances & work stress_add,Barriers to treatment,Barriers to treatment_include,Barriers to treatment_add,Mental health treatment,Mental health treatment_include,Mental health treatment_add
120,,,,jump into traffic,,,jump off a building,,,,,,,,,hate my life,,,,,,avoid I,,,,,,commitment,,,stepson,,,social outcast,,,victim - blaming,,,beat up,,,block I,,,hooch,,,oxy,,,,,,,,,,,,undeserve,,,,,,distress,,,,,,,,,,,,,,,,,,sadness,,,,,,,,,loss of a parent,,,nothing I want to achieve,,,,,,no hope,,,the well I do,,,,,,,,,,,,,,,,,,eat disorder,,,blind,,,,,,,,,transsexual,,,segregate,,,work-life balance,,,,,,behavioral therapy,,
121,,,,jump off a bridge,,,jump off,,,,,,,,,if I live or die,,,,,,be single,,,,,,companionship,,,teammate,,,spread rumor about I,,,violate,,,beatdown,,,block they,,,hungover,,,oxycontin,,,,,,,,,,,,unimportant,,,,,,disturb,,,,,,,,,,,,,,,,,,sertraline,,,,,,,,,loss of a partner,,,nothing make sense,,,,,,no light at the end of the tunnel,,,thorough,,,,,,,,,,,,,,,,,,eat less,,,bronchitis,,,,,,,,,tryke,,,segregation,,,workload,,,,,,benzo,,
122,,,,jump off a building,,,knife,,,,,,,,,it be my time to go,,,,,,be reject,,,,,,conflict,,,twin,,,spread rumor,,,violate,,,beat up,,,can not take it anymore,,,intoxicant,,,pain killer,,,,,,,,,,,,unlovable,,,,,,do not feel at ease,,,,,,,,,,,,,,,,,,somber,,,,,,,,,loss of a spouse,,,pointless,,,,,,no relief,,,too demanding,,,,,,,,,,,,,,,,,,eat to much,,,bruise,,,,,,,,,twink,,,sexism,,,workplace,,,,,,bibliotherapy,,
123,,,,jump off my balcony,,,knife to my throat,,,,,,,,,keep I alive,,,,,,break up,,,,,,consent,,,uncle,,,stay home from school,,,violation,,,bite I,,,combative,,,intoxication,,,pain pill,,,,,,,,,,,,unworthiness,,,,,,dread,,,,,,,,,,,,,,,,,,sorrow,,,,,,,,,memorial,,,purposeless,,,,,,no solution,,,unrealistic expectation,,,,,,,,,,,,,,,,,,fast,,,bruise,,,,,,,,,two-gender,,,sexist,,,I owe,,,,,,biofeedback,,
124,,,,jump off the building,,,lethal injection,,,,,,,,,kill I,,,,,,by myself,,,,,,custody,,,wedding,,,talk bad about I,,,be abuse,,,blade,,,competitive,,,jameson,,,painkiller,,,,,,,,,,,,unworthy,,,,,,escitalopram,,,,,,,,,,,,,,,,,,teary,,,,,,,,,miscarriage,,,senseless,,,,,,no way out,,,winner,,,,,,,,,,,,,,,,,,fat,,,can not breath,,,,,,,,,two-spirit,,,sexual orientation,,,a raise,,,,,,breathe exercise,,
125,,,,jump off the roof,,,monoxide,,,,,,,,,let I die,,,,,,care about I,,,,,,date,,,widow,,,talk behind my back,,,be touch,,,blow to the,,,confrontational,,,keg,,,pentobarbital,,,,,,,,,,,,useless,,,,,,fear,,,,,,,,,,,,,,,,,,tragic,,,,,,,,,miss my brother,,,shitty life,,,,,,nothing can help,,,workaholic,,,,,,,,,,,,,,,,,,fat,,,cancer,,,,,,,,,woman,,,shemale,,,afford,,,,,,coach,,
126,,,,jump out of the window,,,muscle relaxer,,,,,,,,,life be over,,,,,,cut off from,,,,,,date,,,wife,,,taunt,,,,,,bodily harm,,,cranky,,,liqour,,,percocet,,,,,,,,,,,,waste of space,,,,,,fidget,,,,,,,,,,,,,,,,,,unhappy,,,,,,,,,miss my dad,,,superfluous,,,,,,pessimism,,,,,,,,,,,,,,,,,,,,,flat stomach,,,cardiovascular disease,,,,,,,,,women,,,show bias,,,appraisal,,,,,,cognitive behavioral therapy,,
127,,,,jump out the window,,,narcotic,,,,,,,,,life be pointless,,,,,,desolate,,,,,,distance between we,,,wifey,,,tease,,,,,,bop,,,defensive,,,liquor,,,pills,,,,,,,,,,,,what be wrong with I,,,,,,fight or flight,,,,,,,,,,,,,,,,,,upset,,,,,,,,,miss my friend,,,there be no point to life,,,,,,pessimistic,,,,,,,,,,,,,,,,,,,,,gain weight,,,cerebral palsy,,,,,,,,,women who have sex with women,,,skin color,,,asset,,,,,,concerta,,
128,,,,jump off a bridge,,,noose,,,,,,,,,life be shit,,,,,,do not feel like talk,,,,,,distrust,,,wives,,,tease I,,,,,,box,,,disapprove,,,margarita,,,pop a,,,,,,,,,,,,world will be well without I,,,,,,hard to breathe,,,,,,,,,,,,,,,,,,weep,,,,,,,,,miss my late,,,trivial,,,,,,pointless,,,,,,,,,,,,,,,,,,,,,gain a lot of weight,,,cholesterol,,,,,,,,,ftm,,,skinhead,,,bad credit,,,,,,counsel,,
129,,,,kill myself,,,opiate,,,,,,,,,life be not worth live,,,,,,do not have a boyfriend,,,,,,divorce,,,I live with,,,tell I to kill myself,,,,,,break bone,,,disruptive,,,moderation,,,popper,,,,,,,,,,,,worthless,,,,,,horrify,,,,,,,,,,,,,,,,,,wistful,,,,,,,,,miss my mom,,,unfulfilled,,,,,,there be no hope,,,,,,,,,,,,,,,,,,,,,gain so much weight,,,cochlear implant,,,,,,,,,I be straight,,,slavery,,,bank,,,,,,couple therapy,,
130,,,,kill I,,,over dose,,,,,,,,,my death,,,,,,do not have a girlfriend,,,,,,domestic violence,,,acquaintance,,,terrorize,,,,,,bruise,,,dissatisfied,,,my sponsor,,,pot,,,,,,,,,,,,,,,,,,hypochondria,,,,,,,,,,,,,,,,,,without purpose,,,,,,,,,miss my parent,,,unfulfille,,,,,,unachievable,,,,,,,,,,,,,,,,,,,,,gain weight,,,concussion,,,,,,,,,LGBT,,,slur,,,bankrupt,,,,,,diagnose,,
131,,,,kill myself,,,over the counter drug,,,,,,,,,my demise,,,,,,do not have a partner,,,,,,dysfunctional,,,acquaint,,,take my lunch money,,,,,,bruise,,,disturb,,,pint,,,prescription,,,,,,,,,,,,,,,,,,indecisive,,,,,,,,,,,,,,,,,,woeful,,,,,,,,,miss my sister,,,unimportant,,,,,,unende misery,,,,,,,,,,,,,,,,,,,,,have not be eat,,,congenital,,,,,,,,,LGBTQ,,,social injustice,,,bill,,,,,,diagnosis,,
132,,,,kms,,,overdose,,,,,,,,,my final act,,,,,,do not have anyone,,,,,,enemy,,,adopt,,,torment,,,,,,brutalize,,,dysphoric,,,pub,,,psilocybin,,,,,,,,,,,,,,,,,,indigestion,,,,,,,,,,,,,,,,,,,,,,,,,,,miss people,,,valueless,,,,,,without hope,,,,,,,,,,,,,,,,,,,,,hideous,,,contusion,,,,,,,,,MSM,,,spic,,,billion,,,,,,dialectical behavior therapy,,
133,,,,knife to my throat,,,overdose,,,,,,,,,need to be dead,,,,,,do not have friend,,,,,,engagement,,,adoptive child,,,tough guy,,,,,,bully,,,edgy,,,recovery,,,psychedelic,,,,,,,,,,,,,,,,,,insecure,,,,,,,,,,,,,,,,,,,,,,,,,,,mother 's pass,,,void,,,,,,will not get it,,,,,,,,,,,,,,,,,,,,,hunger,,,cough,,,,,,,,,TERF,,,spick,,,bill,,,,,,diazepam,,
134,,,,make a will,,,pesticide,,,,,,,,,no one will miss I,,,,,,drift apart,,,,,,exploitation,,,adoptive child,,,try to make I feel bad,,,,,,charge,,,exasperate,,,rehab,,,psychotropic,,,,,,,,,,,,,,,,,,insecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,mourn,,,wander,,,,,,,,,,,,,,,,,,,,,,,,,,,hungry,,,covid,,,,,,,,,WSW,,,spik,,,bitcoin,,,,,,disorder,,
135,,,,make it look like a accident,,,pill,,,,,,,,,no point in live,,,,,,ever love I,,,,,,faithful,,,adoptive parent,,,verbal abuse,,,,,,child abuse,,,exasperation,,,relapse,,,pump my stomach,,,,,,,,,,,,,,,,,,insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,,my brother die,,,what be the point of life,,,,,,,,,,,,,,,,,,,,,,,,,,,junk food,,,deaf,,,,,,,,,abro,,,stereotype,,,boss,,,,,,dosage,,
136,,,,on the edge,,,pistol,,,,,,,,,no reason to live,,,,,,everybody would forget about I,,,,,,family dynamic,,,adoptive parent,,,,,,,,,choke,,,explosive,,,rum,,,rehab,,,,,,,,,,,,,,,,,,irritability,,,,,,,,,,,,,,,,,,,,,,,,,,,my dad die,,,without direction,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,dementia,,,,,,,,,agender,,,stereotyping,,,buck,,,,,,emergency room,,
137,,,,over dose,,,plastic bag,,,,,,,,,no way out,,,,,,feel ignore,,,,,,fidelity,,,ally,,,,,,,,,choke I,,,fierce,,,shot of,,,relapse,,,,,,,,,,,,,,,,,,low self esteem,,,,,,,,,,,,,,,,,,,,,,,,,,,my father die,,,without purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,dermatitis,,,,,,,,,akiosexual,,,stigma,,,budget,,,,,,escitalopram,,
138,,,,overdose,,,poison,,,,,,,,,nothing leave to live for,,,,,,find someone,,,,,,flirt,,,ancestor,,,,,,,,,conflict,,,fiery,,,sober,,,ritalin,,,,,,,,,,,,,,,,,,mistrust,,,,,,,,,,,,,,,,,,,,,,,,,,,my grandfather die,,,without reason,,,,,,,,,,,,,,,,,,,,,,,,,,,laxative,,,diabetes,,,,,,,,,ally,,,stigmatization,,,burnout,,,,,,exercise,,
139,,,,overdose,,,precipice,,,,,,,,,nothing to live for,,,,,,friendless,,,,,,forgive,,,aunt,,,,,,,,,control I,,,fret,,,sobriety,,,sedative,,,,,,,,,,,,,,,,,,my heart be race,,,,,,,,,,,,,,,,,,,,,,,,,,,my grandmother die,,,worthlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,lbs,,,diagnos,,,,,,,,,altersex,,,systemic discrimination,,,buy,,,,,,eye movement desensitization and reprocess,,
140,,,,painless way out,,,prescription drug,,,,,,,,,nothing to lose,,,,,,have friend,,,,,,gaslight,,,baby,,,,,,,,,cop,,,frustration,,,spirit,,,sertraline,,,,,,,,,,,,,,,,,,my mind be race,,,,,,,,,,,,,,,,,,,,,,,,,,,my loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lose weight,,,diarrhea,,,,,,,,,androgynous,,,think I am dishonest,,,capital,,,,,,facility,,
141,,,,poison,,,razor,,,,,,,,,only thing keep I go,,,,,,have no one,,,,,,ghost,,,good friend,,,,,,,,,criminal court,,,fury,,,tequila,,,shrooms,,,,,,,,,,,,,,,,,,nervous,,,,,,,,,,,,,,,,,,,,,,,,,,,my mom die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loss of appetite,,,disability,,,,,,,,,androsexual,,,think I am not smart,,,career growth,,,,,,get help,,
142,,,,pull the trigger,,,revolver,,,,,,,,,ready to die,,,,,,have nobody,,,,,,ghost I,,,bf,,,,,,,,,cruelty,,,gaslight,,,the bar,,,smack,,,,,,,,,,,,,,,,,,nightmare,,,,,,,,,,,,,,,,,,,,,,,,,,,my mother die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malnourished,,,disease,,,,,,,,,aromantic,,,think we're dangerous,,,cash,,,,,,ground technique,,
143,,,,quick and easy,,,rope,,,,,,,,,safety check,,,,,,hermit,,,,,,ghost,,,boyfriend,,,,,,,,,dagger,,,gloomy,,,the club,,,smoke,,,,,,,,,,,,,,,,,,on edge,,,,,,,,,,,,,,,,,,,,,,,,,,,my sister die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malnutrition,,,dizziness,,,,,,,,,asexual,,,tokenism,,,chapter 11,,,,,,group therapy,,
144,,,,quick and painless,,,run in front of traffic,,,,,,,,,safety plan,,,,,,human interaction,,,,,,grief,,,bride,,,,,,,,,domestic dispute,,,grouchy,,,tipsy,,,smoking,,,,,,,,,,,,,,,,,,on the edge,,,,,,,,,,,,,,,,,,,,,,,,,,,obituary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my body,,,dyslexia,,,,,,,,,attract,,,tranny,,,cheap,,,,,,hospitalization,,
145,,,,rope around my neck,,,sedative,,,,,,,,,severe depression,,,,,,introspective,,,,,,grudge,,,bro,,,,,,,,,domestic violence,,,grumpy,,,twelve - step,,,snort,,,,,,,,,,,,,,,,,,overthinke,,,,,,,,,,,,,,,,,,,,,,,,,,,our loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my thigh,,,eczema,,,,,,,,,attractive,,,transphobia,,,coin,,,,,,hospitalize,,
146,,,,run in front of traffic,,,set myself on fire,,,,,,,,,sick of life,,,,,,introversion,,,,,,have leave I,,,brother,,,,,,,,,fight,,,harsh,,,urge to drink,,,sober,,,,,,,,,,,,,,,,,,overwhelm,,,,,,,,,,,,,,,,,,,,,,,,,,,pain of loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not beautiful,,,epilepsy,,,,,,,,,autosexual,,,transphobic,,,commute,,,,,,in and out of the clinic,,
147,,,,self - harm,,,sharp object,,,,,,,,,sick of my life,,,,,,introvert,,,,,,he be toxic,,,brother in law,,,,,,,,,force I,,,hateful,,,vodka,,,sobriety,,,,,,,,,,,,,,,,,,overwhelmed,,,,,,,,,,,,,,,,,,,,,,,,,,,pass away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not eat enough,,,erectile dysfunction,,,,,,,,,bgltq,,,treat as inferior,,,competition,,,,,,in and out of the hospital,,
148,,,,set myself on fire,,,shoot myself,,,,,,,,,suicidal,,,,,,isolate,,,,,,heartbreak,,,buddy,,,,,,,,,get beat up,,,heat,,,whiskey,,,special k,,,,,,,,,,,,,,,,,,panic,,,,,,,,,,,,,,,,,,,,,,,,,,,pass away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not hungry,,,fatigue,,,,,,,,,bigender,,,treat differently,,,competitive,,,,,,ketamine,,
149,,,,shoot myself,,,shoot myself,,,,,,,,,suicidal behavior,,,,,,isolate,,,,,,independence,,,caregiver,,,,,,,,,go to court,,,heat discussion,,,whisky,,,spun out,,,,,,,,,,,,,,,,,,panic attack,,,,,,,,,,,,,,,,,,,,,,,,,,,put my cat down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not pretty,,,fever,,,,,,,,,bisexual,,,treated with less courtesy,,,compliance,,,,,,lithium,,
150,,,,shoot myself,,,shotgun,,,,,,,,,suicidal intent,,,,,,isolation,,,,,,infidelity,,,child,,,,,,,,,get physical,,,hostile,,,wine,,,stimulant,,,,,,,,,,,,,,,,,,panic attack,,,,,,,,,,,,,,,,,,,,,,,,,,,put my dog down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number on the scale,,,fibromyalgia,,,,,,,,,boy,,,treated with less respect,,,costly,,,,,,medication,,
151,,,,slam my car,,,skyscraper,,,,,,,,,suicidal tendency,,,,,,just want someone,,,,,,jealous,,,classmate,,,,,,,,,gouge,,,hostility,,,withdrawal,,,stimulants,,,,,,,,,,,,,,,,,,panic disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,remembrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obese,,,fracture,,,,,,,,,boymod,,,unfairness,,,credit card,,,,,,medicine,,
152,,,,slash my wrist,,,slice my wrist,,,,,,,,,suicidal thought,,,,,,lack of social,,,,,,lack of communication,,,co - parent,,,,,,,,,grab I,,,hot temper,,,,,,stoned,,,,,,,,,,,,,,,,,,paranoia,,,,,,,,,,,,,,,,,,,,,,,,,,,she die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obesity,,,hard of hear,,,,,,,,,butch,,,victimization,,,crypto,,,,,,meditation,,
153,,,,slash my wrist,,,slit my wrist,,,,,,,,,suicidality,,,,,,leave out,,,,,,loveless,,,colleague,,,,,,,,,grapple,,,hot - head,,,,,,stoner,,,,,,,,,,,,,,,,,,petrify,,,,,,,,,,,,,,,,,,,,,,,,,,,they be dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orthorexia,,,have a cold,,,,,,,,,byke,,,victimize,,,currency,,,,,,mindfulness,,
154,,,,slit my wrist,,,stab my self,,,,,,,,,suicide,,,,,,lockdown,,,,,,loyalty,,,companion,,,,,,,,,gun,,,hothead,,,,,,suboxone,,,,,,,,,,,,,,,,,,phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,tragic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,over eat,,,have the flu,,,,,,,,,campy,,,wetback,,,debt,,,,,,mood stabilizer,,
155,,,,slit my wrist,,,stab my self,,,,,,,,,the end of my rope,,,,,,lone wolf,,,,,,manipulative,,,comrade,,,,,,,,,gunshot,,,ill will,,,,,,substance,,,,,,,,,,,,,,,,,,phobic,,,,,,,,,,,,,,,,,,,,,,,,,,,when he be alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overweight,,,headache,,,,,,,,,cis,,,where you came from,,,debt,,,,,,motivational interview,,
156,,,,stab my self,,,stab myself,,,,,,,,,thing that keep I go,,,,,,loneliness,,,,,,marriage counseling,,,confidant,,,,,,,,,hand on I,,,indignant,,,,,,substance abuse,,,,,,,,,,,,,,,,,,procrastinate,,,,,,,,,,,,,,,,,,,,,,,,,,,when she be alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perfectionism,,,hear aid,,,,,,,,,cisgender,,,white power,,,deplete,,,,,,need help,,
157,,,,stab my self,,,suffocation,,,,,,,,,tired of life,,,,,,lonely,,,,,,mediation,,,cousin,,,,,,,,,harm,,,infuriate,,,,,,tequila,,,,,,,,,,,,,,,,,,race thought,,,,,,,,,,,,,,,,,,,,,,,,,,,widow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical appearance,,,hear impaired,,,,,,,,,cisnormativity,,,white privilege,,,deposit,,,,,,neurofeedback,,
158,,,,stab myself,,,suicide bag,,,,,,,,,want to end this,,,,,,lonesome,,,,,,mistreat,,,dad,,,,,,,,,harm I,,,intrude,,,,,,testosterone,,,,,,,,,,,,,,,,,,restless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pica,,,hear impairment,,,,,,,,,cissexism,,,white supremacist,,,destitute,,,,,,olanzapine,,
159,,,,suffocate my,,,take all the pill,,,,,,,,,want to not be here,,,,,,long distance,,,,,,monogamy,,,daddy,,,,,,,,,hit I,,,invade,,,,,,tobacco,,,,,,,,,,,,,,,,,,restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pound,,,heart attack,,,,,,,,,deadname,,,white supremacy,,,do work,,,,,,omega-3,,
160,,,,suffocation,,,tall building,,,,,,,,,what be the point of live,,,,,,lose all my friend,,,,,,my ex,,,daughter,,,,,,,,,hit I,,,irate,,,,,,triazolam,,,,,,,,,,,,,,,,,,ruminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purge,,,heart failure,,,,,,,,,demiboy,,,white trash,,,dollar,,,,,,peer support,,
161,,,,suicidal behavior,,,try OD,,,,,,,,,when I die,,,,,,lose everyone,,,,,,narcissis,,,daughter in law,,,,,,,,,hit,,,irritability,,,,,,tripping,,,,,,,,,,,,,,,,,,rumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purge,,,herniate disk,,,,,,,,,demigirl,,,xenophobe,,,downsize,,,,,,prescribe,,
162,,,,suicidal intent,,,try to OD,,,,,,,,,when I be dead,,,,,,lose everyone,,,,,,need space,,,faithful,,,,,,,,,insult,,,irritable,,,,,,valium,,,,,,,,,,,,,,,,,,scare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restrict,,,high blood pressure,,,,,,,,,demisexual,,,xenophobia,,,economic crisis,,,,,,primary care,,
163,,,,suicide attempt,,,weapon,,,,,,,,,when I be go,,,,,,make friend,,,,,,neglect,,,family,,,,,,,,,intimidate,,,irritated,,,,,,vape,,,,,,,,,,,,,,,,,,social anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restrict,,,high tension,,,,,,,,,dyke,,,zealot,,,economy,,,,,,professional help,,
164,,,,suicide note,,,,,,,,,,,,when I be not around,,,,,,make new friend,,,,,,no privacy,,,father,,,,,,,,,kick,,,irritation,,,,,,vaping,,,,,,,,,,,,,,,,,,stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skinny,,,hive,,,,,,,,,dysphoria,,,Jim Crow,,,employ,,,,,,psychedelic,,
165,,,,take my own life,,,,,,,,,,,,will be dead,,,,,,need someone,,,,,,passive - aggressive,,,father in law,,,,,,,,,kick I,,,lash out,,,,,,viagra,,,,,,,,,,,,,,,,,,tense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip meal,,,hormone,,,,,,,,,dysphoric,,,Kemosabe,,,evict,,,,,,psychedelic,,
166,,,,take all the pill,,,,,,,,,,,,wish I have never be bear,,,,,,never there for I,,,,,,poly,,,fiance,,,,,,,,,kidnap,,,livid,,,,,,vicodin,,,,,,,,,,,,,,,,,,tension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,starvation,,,hypertension,,,,,,,,,fag,,,MAGA,,,expense,,,,,,psychiatr,,
167,,,,think about jump off,,,,,,,,,,,,will not matter if I die,,,,,,no friend,,,,,,polyamory,,,fiancé,,,,,,,,,knock I,,,mad,,,,,,vodka,,,,,,,,,,,,,,,,,,terrify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,starve,,,infection,,,,,,,,,fag hag,,,TERF,,,expensive,,,,,,psychiatrist,,
168,,,,try OD,,,,,,,,,,,,,,,,,,no one I can talk to,,,,,,possessive,,,foster child,,,,,,,,,lash out,,,malevolent,,,,,,wasted,,,,,,,,,,,,,,,,,,terrify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,starve,,,inflammation,,,,,,,,,female,,,able - bodism,,,finance,,,,,,psychoanalysis,,
169,,,,try to OD,,,,,,,,,,,,,,,,,,no one care,,,,,,power struggle,,,foster child,,,,,,,,,murder,,,malicious,,,,,,weed,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stop eat,,,injury,,,,,,,,,female to male,,,ableism,,,finance,,,,,,psycholog,,
170,,,,want to end it,,,,,,,,,,,,,,,,,,no one miss I,,,,,,pregnancy,,,foster parent,,,,,,,,,physical abuse,,,malignant,,,,,,whiskey,,,,,,,,,,,,,,,,,,torment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thigh gap,,,irritable bowel syndrome,,,,,,,,,femenine,,,ableist,,,financial crisis,,,,,,psychologist,,
171,,,,want to jump,,,,,,,,,,,,,,,,,,no one to hang,,,,,,pregnant,,,foster parent,,,,,,,,,physical altercation,,,moody,,,,,,whisky,,,,,,,,,,,,,,,,,,torture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thin,,,itch,,,,,,,,,feminine,,,ablism,,,foreclosure,,,,,,pump my stomach,,
172,,,,will be dead,,,,,,,,,,,,,,,,,,no one to talk,,,,,,psychological abuse,,,friend,,,,,,,,,physical harm,,,name call,,,,,,wine,,,,,,,,,,,,,,,,,,tremble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,throw up,,,kidney disease,,,,,,,,,femme,,,afraid of I,,,fund,,,,,,quetiapine,,
173,,,,wreck my car,,,,,,,,,,,,,,,,,,no one to talk to,,,,,,reach out,,,genetic,,,,,,,,,physically attack,,,offend,,,,,,withdrawal,,,,,,,,,,,,,,,,,,trouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,throw up,,,kidney stone,,,,,,,,,folx,,,ageis,,,furlough,,,,,,safety check,,
174,,,,wreck my truck,,,,,,,,,,,,,,,,,,no one to turn to,,,,,,reconciliation,,,gf,,,,,,,,,police,,,offensive,,,,,,xanax,,,,,,,,,,,,,,,,,,uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ugly,,,leukemia,,,,,,,,,gay,,,ageist,,,gambling,,,,,,self - care,,
175,,,,write a will,,,,,,,,,,,,,,,,,,no one want I here,,,,,,relationship be toxic,,,girlfriend,,,,,,,,,police report,,,on edge,,,,,,zoloft,,,,,,,,,,,,,,,,,,unease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,underweight,,,liver disease,,,,,,,,,gaydar,,,agis,,,gig,,,,,,self - help,,
